mode,pattern,injection_rate,offered_load,expected_generated,packets_injected,packets_received,injection_acceptance,delivery_ratio,throughput,queueing_latency,network_latency,packet_latency,average_hops,average_link_utilization,adaptive_hops,escape_hops,escape_transitions,escape_hop_fraction,sim_ticks,sim_freq
torus3d_dor,uniform_random,0.06,0.03,19200.0,19131.0,19119.0,0.99640625,0.9993727458052376,0.0298734375,2.0,9.049793,11.049793,3.000889,9.5649,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.08,0.04,25600.0,25513.0,25491.0,0.9966015625,0.9991376945086818,0.0398296875,2.0,9.070103,11.070103,2.999608,12.7516,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.1,0.05,32000.0,31970.0,31933.0,0.9990625,0.998842664998436,0.0498953125,2.0,9.103811,11.103811,3.008393,16.0022,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.12,0.06,38400.0,38312.0,38265.0,0.9977083333333333,0.9987732303194822,0.0597890625,2.0,9.126878,11.126878,3.011551,19.1912,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.14,0.07,44800.00000000001,44515.0,44477.0,0.9936383928571427,0.9991463551611817,0.0694953125,2.0,9.110169,11.110169,2.995121,22.2288,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.16,0.08,51200.0,50920.0,50870.0,0.99453125,0.9990180675569521,0.079484375,2.0,9.138254,11.138254,3.000354,25.4527,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.18,0.09,57600.0,57428.0,57373.0,0.9970138888888889,0.999042279027652,0.0896453125,2.0,9.165914,11.165914,3.006153,28.7383,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.2,0.1,64000.0,63801.0,63731.0,0.996890625,0.9989028385135029,0.0995796875,2.0,9.168003,11.168003,2.997693,31.8741,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.22,0.11,70400.0,70205.0,70142.0,0.9972301136363636,0.9991026280179475,0.109596875,2.0,9.194677,11.194677,3.002566,35.1083,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.24,0.12,76800.0,76649.0,76571.0,0.9980338541666667,0.998982374199272,0.1196421875,2.0,9.209688,11.209688,3.001489,38.32,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.26,0.13,83200.0,83161.0,83075.0,0.99953125,0.998965861401378,0.1298046875,2.0,9.20461,11.20461,2.990972,41.4873,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.28,0.14,89600.00000000001,89543.0,89450.0,0.9993638392857142,0.9989613928503625,0.139765625,2.0,9.234612,11.234612,2.998591,44.7388,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.3,0.15,96000.0,96060.0,95966.0,1.000625,0.9990214449302519,0.149946875,2.0,9.272763,11.272763,3.005929,48.0705,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.32,0.16,102400.0,102412.0,102312.0,1.0001171875,0.9990235519275085,0.1598625,2.0,9.26169,11.26169,2.993227,51.1168,0.0,0.0,0.0,0.0,10000.0,2000000000.0
torus3d_dor,uniform_random,0.34,0.17,108800.00000000001,108817.0,108709.0,1.0001562499999999,0.9990075080180486,0.1698578125,2.0,9.298724,11.298724,3.001996,54.4064,0.0,0.0,0.0,0.0,10000.0,2000000000.0
