pattern,injection_rate,offered_load,packets_injected,packets_received,throughput,delivery_ratio,queueing_latency,network_latency,packet_latency,average_hops,sim_ticks,sim_freq
transpose,0.34,0.17,104504.0,104275.0,0.1629296875,0.9978086963178443,103.743237,21.365581,125.108818,4.952136,10000.0,2000000000.0
transpose,0.35,0.175,106412.0,106183.0,0.1659109375,0.9978479870691276,132.157219,21.454254,153.611473,4.884322,10000.0,2000000000.0
transpose,0.36,0.18,108277.0,108043.0,0.1688171875,0.9978388762156322,156.333534,21.512296,177.84583,4.817563,10000.0,2000000000.0
transpose,0.37,0.185,110166.0,109928.0,0.1717625,0.9978396238403864,173.920384,21.675278,195.595663,4.753584,10000.0,2000000000.0
transpose,0.38,0.19,112059.0,111811.0,0.1747046875,0.9977868801256481,184.626423,21.901745,206.528168,4.689861,10000.0,2000000000.0
transpose,0.39,0.195,113947.0,113694.0,0.177646875,0.9977796694954671,190.093074,22.313332,212.406407,4.633666,10000.0,2000000000.0
transpose,0.4,0.2,115853.0,115573.0,0.1805828125,0.9975831441568194,195.273983,23.151567,218.425549,4.575031,10000.0,2000000000.0
transpose,0.41,0.205,117413.0,117128.0,0.1830125,0.9975726708286136,221.159979,23.587818,244.747797,4.51378,10000.0,2000000000.0
transpose,0.42,0.21,118827.0,118539.0,0.1852171875,0.9975763084147542,249.267169,23.59771,272.86488,4.454213,10000.0,2000000000.0
transpose,0.43,0.215,120330.0,120039.0,0.1875609375,0.9975816504612316,274.343105,23.612068,297.955173,4.397871,10000.0,2000000000.0
transpose,0.44,0.22,121747.0,121450.0,0.189765625,0.997560514838148,294.75846,23.60839,318.366851,4.339201,10000.0,2000000000.0
transpose,0.45,0.225,123098.0,122804.0,0.19188125,0.9976116590033957,309.89844,23.645606,333.544046,4.282857,10000.0,2000000000.0
transpose,0.46,0.23,124532.0,124232.0,0.1941125,0.9975909806314843,322.140777,23.696133,345.83691,4.23052,10000.0,2000000000.0
transpose,0.47,0.235,125859.0,125553.0,0.1961765625,0.9975687078397254,329.432216,23.816372,353.248588,4.175639,10000.0,2000000000.0
transpose,0.48,0.24,127200.0,126890.0,0.198265625,0.997562893081761,333.320656,23.965726,357.286382,4.122169,10000.0,2000000000.0
transpose,0.49,0.245,128588.0,128261.0,0.2004078125,0.9974569944318288,335.191633,24.220285,359.411918,4.072056,10000.0,2000000000.0
transpose,0.5,0.25,129903.0,129573.0,0.2024578125,0.9974596429643657,343.439142,24.758275,368.197418,4.02553,10000.0,2000000000.0
tornado,0.01,0.005,3151.0,3150.0,0.004921875,0.999682640431609,2.0,10.468889,12.468889,3.726349,10000.0,2000000000.0
