experiment,pattern,parameter_value,injection_rate,offered_packet_load,offered_flit_load,inj_vnet,packet_size_bytes,flits_per_packet,vcs_per_vnet,router_latency,link_width_bits,packets_injected,packets_received,flits_injected,flits_received,packet_throughput,flit_throughput,delivery_ratio,queueing_latency,network_latency,packet_latency,flit_queueing_latency,flit_network_latency,flit_latency,average_hops,average_link_utilization,sim_ticks,sim_freq
vcs,uniform_random,2,0.31,0.155,0.155,0,8,1,2,1,128,98925.0,98701.0,98925.0,98701.0,0.1542203125,0.1542203125,0.9977356583270154,12.830741,20.623236,33.453977,12.830741,20.623236,33.453977,5.245398,71.5907,10000.0,2000000000.0
vcs,uniform_random,2,0.32,0.16,0.16,0,8,1,2,1,128,101352.0,101112.0,101352.0,101112.0,0.1579875,0.1579875,0.997632015155103,50.868433,22.941619,73.810052,50.868433,22.941619,73.810052,5.251414,73.4059,10000.0,2000000000.0
vcs,uniform_random,2,0.33,0.165,0.165,0,8,1,2,1,128,102569.0,102289.0,102569.0,102289.0,0.1598265625,0.1598265625,0.9972701303512758,115.246771,24.265493,139.512264,115.246771,24.265493,139.512264,5.21406,73.8839,10000.0,2000000000.0
vcs,uniform_random,2,0.34,0.17,0.17,0,8,1,2,1,128,103421.0,103135.0,103421.0,103135.0,0.1611484375,0.1611484375,0.9972346041906383,196.433034,25.350007,221.783042,196.433034,25.350007,221.783042,5.190362,74.2516,10000.0,2000000000.0
vcs,uniform_random,2,0.35,0.175,0.175,0,8,1,2,1,128,103918.0,103638.0,103918.0,103638.0,0.161934375,0.161934375,0.9973055678515753,263.005789,26.362049,289.367838,263.005789,26.362049,289.367838,5.167689,74.3764,10000.0,2000000000.0
vcs,uniform_random,2,0.36,0.18,0.18,0,8,1,2,1,128,103946.0,103640.0,103946.0,103640.0,0.1619375,0.1619375,0.997056163777346,359.317069,27.324093,386.641162,359.317069,27.324093,386.641162,5.159244,74.2975,10000.0,2000000000.0
vcs,uniform_random,2,0.37,0.185,0.185,0,8,1,2,1,128,104235.0,103938.0,104235.0,103938.0,0.162403125,0.162403125,0.9971506691610303,434.215388,27.696425,461.911813,434.215388,27.696425,461.911813,5.14424,74.3482,10000.0,2000000000.0
vcs,uniform_random,2,0.38,0.19,0.19,0,8,1,2,1,128,103775.0,103461.0,103775.0,103461.0,0.1616578125,0.1616578125,0.9969742230787761,570.78099,28.311489,599.092479,570.78099,28.311489,599.092479,5.131431,73.8811,10000.0,2000000000.0
vcs,uniform_random,2,0.39,0.195,0.195,0,8,1,2,1,128,104925.0,104623.0,104925.0,104623.0,0.1634734375,0.1634734375,0.9971217536335478,604.021907,28.196009,632.217916,604.021907,28.196009,632.217916,5.114401,74.5295,10000.0,2000000000.0
vcs,uniform_random,2,0.4,0.2,0.2,0,8,1,2,1,128,104854.0,104541.0,104854.0,104541.0,0.1633453125,0.1633453125,0.9970148969042669,694.690858,28.52124,723.212099,694.690858,28.52124,723.212099,5.116538,74.4929,10000.0,2000000000.0
vcs,uniform_random,2,0.41,0.205,0.205,0,8,1,2,1,128,103863.0,103564.0,103863.0,103564.0,0.16181875,0.16181875,0.9971212077448177,783.0056,28.994187,811.999788,783.0056,28.994187,811.999788,5.09372,73.554,10000.0,2000000000.0
vcs,uniform_random,2,0.42,0.21,0.21,0,8,1,2,1,128,104401.0,104081.0,104401.0,104081.0,0.1626265625,0.1626265625,0.996934895259624,829.298758,29.027527,858.326284,829.298758,29.027527,858.326284,5.095704,73.9517,10000.0,2000000000.0
vcs,uniform_random,2,0.43,0.215,0.215,0,8,1,2,1,128,104489.0,104178.0,104489.0,104178.0,0.162778125,0.162778125,0.9970236101407803,886.785175,29.161147,915.946323,886.785175,29.161147,915.946323,5.090768,73.9704,10000.0,2000000000.0
vcs,uniform_random,2,0.44,0.22,0.22,0,8,1,2,1,128,105035.0,104712.0,105035.0,104712.0,0.1636125,0.1636125,0.9969248345789499,951.80752,29.13624,980.94376,951.80752,29.13624,980.94376,5.080077,74.2423,10000.0,2000000000.0
vcs,uniform_random,2,0.45,0.225,0.225,0,8,1,2,1,128,103992.0,103672.0,103992.0,103672.0,0.1619875,0.1619875,0.9969228402184783,1037.699736,29.691759,1067.391494,1037.699736,29.691759,1067.391494,5.070299,73.3997,10000.0,2000000000.0
vcs,uniform_random,2,0.46,0.23,0.23,0,8,1,2,1,128,104565.0,104247.0,104565.0,104247.0,0.1628859375,0.1628859375,0.9969588294362358,1074.98893,29.623404,1104.612334,1074.98893,29.623404,1104.612334,5.071753,73.8177,10000.0,2000000000.0
vcs,uniform_random,2,0.47,0.235,0.235,0,8,1,2,1,128,104262.0,103935.0,104262.0,103935.0,0.1623984375,0.1623984375,0.9968636703688784,1129.595642,29.728898,1159.324539,1129.595642,29.728898,1159.324539,5.057497,73.4549,10000.0,2000000000.0
vcs,uniform_random,2,0.48,0.24,0.24,0,8,1,2,1,128,104048.0,103733.0,104048.0,103733.0,0.1620828125,0.1620828125,0.9969725511302476,1223.342755,29.848891,1253.191646,1223.342755,29.848891,1253.191646,5.053107,73.2632,10000.0,2000000000.0
vcs,uniform_random,2,0.49,0.245,0.245,0,8,1,2,1,128,104453.0,104127.0,104453.0,104127.0,0.1626984375,0.1626984375,0.9968789790623535,1263.254679,29.789728,1293.044407,1263.254679,29.789728,1293.044407,5.06299,73.6438,10000.0,2000000000.0
vcs,uniform_random,2,0.5,0.25,0.25,0,8,1,2,1,128,103389.0,103057.0,103389.0,103057.0,0.1610265625,0.1610265625,0.9967888266643453,1355.545659,30.162599,1385.708259,1355.545659,30.162599,1385.708259,5.049342,72.752,10000.0,2000000000.0
