config,pattern,rate,pd_throughput,global_throughput,throughput_delta_pct,pd_latency,global_latency,latency_delta_pct,pd_pool_blocks,global_pool_blocks,pd_deadlock,global_deadlock
B6_dpesc_v7_s6,torus3d_neighbor,0.05,0.0249328125,0.0249328125,0.0,7.0,7.0,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_neighbor,0.1,0.04988125,0.04988125,0.0,7.0,7.0,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_neighbor,0.15,0.0745765625,0.0745765625,0.0,7.0,7.0,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_neighbor,0.2,0.0996296875,0.0996296875,0.0,7.0,7.0,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_neighbor,0.25,0.124471875,0.124471875,0.0,7.0,7.0,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_neighbor,0.3,0.1496109375,0.1496109375,0.0,7.0,7.0,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_neighbor,0.35,0.1744328125,0.1744328125,0.0,7.0,7.0,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_neighbor,0.4,0.199315625,0.199315625,0.0,7.0,7.0,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_neighbor,0.45,0.224171875,0.224171875,0.0,7.0,7.0,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_neighbor,0.5,0.2489984375,0.2489984375,0.0,7.0,7.0,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_tornado,0.05,0.0249203125,0.0249203125,0.0,11.04157,11.04157,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_tornado,0.1,0.04985,0.04985,0.0,11.094471,11.094471,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_tornado,0.15,0.0745328125,0.0745328125,0.0,11.138551,11.138551,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_tornado,0.2,0.099578125,0.099578125,0.0,11.193159,11.193159,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_tornado,0.25,0.1244109375,0.1244109375,0.0,11.245482,11.245482,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_tornado,0.3,0.14954375,0.14954375,0.0,11.30079,11.30079,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_tornado,0.35,0.1743609375,0.1743609375,0.0,11.357654,11.357654,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_tornado,0.4,0.199225,0.199225,0.0,11.424818,11.424818,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_tornado,0.45,0.224075,0.224075,0.0,11.494491,11.494491,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_tornado,0.5,0.248890625,0.248890625,0.0,11.565371,11.565371,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_transpose,0.05,0.0249203125,0.0249203125,0.0,11.042072,11.042072,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_transpose,0.1,0.049853125,0.049853125,0.0,11.076694,11.076694,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_transpose,0.15,0.0745359375,0.0745359375,0.0,11.098799,11.098799,0.0,0,0,0,0
B6_dpesc_v7_s6,torus3d_transpose,0.2,0.0995796875,0.0995796875,0.0,11.137547,11.137547,0.0,0,0,0,0
